STEP 1
18 12
#,0,0
#,1,0
#,2,0
#,3,0
#,4,0
#,5,0
#,6,0
#,7,0
#,8,0
#,9,0
#,10,0
#,11,0
#,12,0
#,13,0
#,14,0
#,15,0
#,16,0
#,17,0
#,0,2
#,1,2
#,2,2
@,3,2
@,4,2
@,5,2
@,12,2
@,13,2
@,14,2
#,15,2
#,16,2
#,17,2
#,0,3
#,1,3
#,2,3
T,3,3,2,90,20
#,8,3
#,9,3
@,12,3
T,13,3,1,270,20
@,14,3
#,15,3
#,16,3
#,17,3
#,0,4
#,1,4
#,2,4
#,15,4
#,16,4
#,17,4
T,1,5,1,270,20
#,0,6
#,1,6
#,2,6
#,3,6
#,4,6
#,5,6
#,6,6
#,7,6
#,8,6
#,9,6
#,10,6
#,11,6
#,12,6
#,13,6
#,14,6
#,15,6
#,16,6
#,17,6
#,0,7
#,1,7
#,2,7
T,10,7,2,90,20
#,15,7
#,16,7
#,17,7
#,0,8
#,1,8
#,2,8
@,3,8
T,4,8,1,270,20
@,5,8
#,8,8
#,9,8
@,12,8
T,13,8,2,90,20
@,14,8
#,15,8
#,16,8
#,17,8
#,0,9
#,1,9
#,2,9
@,3,9
@,4,9
@,5,9
@,12,9
@,13,9
@,14,9
#,15,9
#,16,9
#,17,9
#,0,10
#,1,10
#,2,10
#,3,10
#,4,10
#,5,10
#,6,10
#,7,10
#,8,10
#,9,10
#,10,10
#,11,10
#,12,10
#,13,10
#,14,10
#,15,10
#,16,10
#,17,10
#,0,11
#,1,11
#,2,11
#,3,11
#,4,11
#,5,11
#,6,11
#,7,11
#,8,11
#,9,11
#,10,11
#,11,11
#,12,11
#,13,11
#,14,11
#,15,11
#,16,11
#,17,11
END_STEP
STEP 2
18 12
#,0,0
#,1,0
#,2,0
#,3,0
#,4,0
#,5,0
#,6,0
#,7,0
#,8,0
#,9,0
#,10,0
#,11,0
#,12,0
#,13,0
#,14,0
#,15,0
#,16,0
#,17,0
#,0,2
#,1,2
#,2,2
@,3,2
@,4,2
@,5,2
@,12,2
@,13,2
@,14,2
#,15,2
#,16,2
#,17,2
#,0,3
#,1,3
#,2,3
T,4,3,2,90,20
#,8,3
#,9,3
@,12,3
T,13,3,1,270,20
@,14,3
#,15,3
#,16,3
#,17,3
#,0,4
#,1,4
#,2,4
#,15,4
#,16,4
#,17,4
T,0,5,1,270,20
#,0,6
#,1,6
#,2,6
#,3,6
#,4,6
#,5,6
#,6,6
#,7,6
#,8,6
#,9,6
#,10,6
#,11,6
#,12,6
#,13,6
#,14,6
#,15,6
#,16,6
#,17,6
#,0,7
#,1,7
#,2,7
T,10,7,2,90,20
#,15,7
#,16,7
#,17,7
#,0,8
#,1,8
#,2,8
@,3,8
T,4,8,1,270,20
@,5,8
#,8,8
#,9,8
@,12,8
T,13,8,2,90,20
@,14,8
#,15,8
#,16,8
#,17,8
#,0,9
#,1,9
#,2,9
@,3,9
@,4,9
@,5,9
@,12,9
@,13,9
@,14,9
#,15,9
#,16,9
#,17,9
#,0,10
#,1,10
#,2,10
#,3,10
#,4,10
#,5,10
#,6,10
#,7,10
#,8,10
#,9,10
#,10,10
#,11,10
#,12,10
#,13,10
#,14,10
#,15,10
#,16,10
#,17,10
#,0,11
#,1,11
#,2,11
#,3,11
#,4,11
#,5,11
#,6,11
#,7,11
#,8,11
#,9,11
#,10,11
#,11,11
#,12,11
#,13,11
#,14,11
#,15,11
#,16,11
#,17,11
END_STEP
STEP 3
18 12
#,0,0
#,1,0
#,2,0
#,3,0
#,4,0
#,5,0
#,6,0
#,7,0
#,8,0
#,9,0
#,10,0
#,11,0
#,12,0
#,13,0
#,14,0
#,15,0
#,16,0
#,17,0
#,0,2
#,1,2
#,2,2
@,3,2
@,4,2
@,5,2
@,12,2
@,13,2
@,14,2
#,15,2
#,16,2
#,17,2
#,0,3
#,1,3
#,2,3
T,4,3,2,90,20
#,8,3
#,9,3
@,12,3
T,13,3,1,225,20
@,14,3
#,15,3
#,16,3
#,17,3
#,0,4
#,1,4
#,2,4
#,15,4
#,16,4
#,17,4
T,0,5,1,270,20
#,0,6
#,1,6
#,2,6
#,3,6
#,4,6
#,5,6
#,6,6
#,7,6
#,8,6
#,9,6
#,10,6
#,11,6
#,12,6
#,13,6
#,14,6
#,15,6
#,16,6
#,17,6
#,0,7
#,1,7
#,2,7
T,10,7,2,90,20
#,15,7
#,16,7
#,17,7
#,0,8
#,1,8
#,2,8
*,3,8,270
T,4,8,1,270,19
@,5,8
#,8,8
#,9,8
@,12,8
T,13,8,2,90,20
@,14,8
#,15,8
#,16,8
#,17,8
#,0,9
#,1,9
#,2,9
@,3,9
@,4,9
@,5,9
@,12,9
@,13,9
@,14,9
#,15,9
#,16,9
#,17,9
#,0,10
#,1,10
#,2,10
#,3,10
#,4,10
#,5,10
#,6,10
#,7,10
#,8,10
#,9,10
#,10,10
#,11,10
#,12,10
#,13,10
#,14,10
#,15,10
#,16,10
#,17,10
#,0,11
#,1,11
#,2,11
#,3,11
#,4,11
#,5,11
#,6,11
#,7,11
#,8,11
#,9,11
#,10,11
#,11,11
#,12,11
#,13,11
#,14,11
#,15,11
#,16,11
#,17,11
END_STEP
STEP 4
18 12
#,0,0
#,1,0
#,2,0
#,3,0
#,4,0
#,5,0
#,6,0
#,7,0
#,8,0
#,9,0
#,10,0
#,11,0
#,12,0
#,13,0
#,14,0
#,15,0
#,16,0
#,17,0
#,0,2
#,1,2
#,2,2
@,3,2
@,4,2
@,5,2
@,12,2
@,13,2
@,14,2
#,15,2
#,16,2
#,17,2
#,0,3
#,1,3
#,2,3
T,4,3,2,90,20
#,8,3
#,9,3
@,12,3
T,13,3,1,225,20
@,14,3
#,15,3
#,16,3
#,17,3
#,0,4
#,1,4
#,2,4
#,15,4
#,16,4
#,17,4
T,0,5,1,270,20
#,0,6
#,1,6
#,2,6
#,3,6
#,4,6
#,5,6
#,6,6
#,7,6
#,8,6
#,9,6
#,10,6
#,11,6
#,12,6
#,13,6
#,14,6
#,15,6
#,16,6
#,17,6
#,0,7
#,1,7
#,2,7
T,10,7,2,90,20
#,15,7
#,16,7
#,17,7
#,0,8
#,1,8
#,2,8
@,3,8
T,4,8,1,270,19
@,5,8
#,8,8
#,9,8
@,12,8
T,13,8,2,90,20
@,14,8
#,15,8
#,16,8
#,17,8
#,0,9
#,1,9
#,2,9
@,3,9
@,4,9
@,5,9
@,12,9
@,13,9
@,14,9
#,15,9
#,16,9
#,17,9
#,0,10
#,1,10
#,2,10
#,3,10
#,4,10
#,5,10
#,6,10
#,7,10
#,8,10
#,9,10
#,10,10
#,11,10
#,12,10
#,13,10
#,14,10
#,15,10
#,16,10
#,17,10
#,0,11
#,1,11
#,2,11
#,3,11
#,4,11
#,5,11
#,6,11
#,7,11
#,8,11
#,9,11
#,10,11
#,11,11
#,12,11
#,13,11
#,14,11
#,15,11
#,16,11
#,17,11
END_STEP
